# UltraFIBU - Kontenrahmen SKR03 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (14 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
3091;Energiestoffe (Fertigung) 7 % VSt;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3092;Energiestoffe (Fertigung) 19 % VSt;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3093;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3098
3100;Fremdleistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;V;;;
3106;Fremdleistungen 19 % Vorsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;;
3107;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;
3108;Fremdleistungen 7 % Vorsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;;
3109;Fremdleistungen ohne Vorsteuer Umsätze, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird;aufwand;;;;Aufwendungen für bezogene Leistungen;KU;;;
3110;Bauleistungen eines im Inland ansässigen Unternehmers 7 % Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;
3111;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;3112
3113;Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers 7 % Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;
3114;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;
3115;Leistungen eines im Ausland ansässigen Unternehmers 7 % Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;
3116;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;3119
3120;Bauleistungen eines im Inland ansässigen Unternehmers 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;3121
3122;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;
3123;Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;
3124;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;
3125;Leistungen eines im Ausland ansässigen Unternehmers 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;3126
3127;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;3129
3130;Bauleistungen eines im Inland ansässigen Unternehmers ohne Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;
3131;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;3132
3133;Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers ohne Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;
3134;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;
3135;Leistungen eines im Ausland ansässigen Unternehmers ohne Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;
3136;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;3139
3140;Bauleistungen eines im Inland ansässigen Unternehmers ohne Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;3141
3142;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;
3143;Sonstige Leistungen eines im anderen EU-Land ansässigen Unternehmers ohne Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;
3144;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;
3145;Leistungen eines im Ausland ansässigen Unternehmers ohne Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;AV;;U;3146
3147;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;3149
3150;Erhaltene Skonti aus Leistungen, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird Seite 19;aufwand;;;;Aufwendungen für bezogene Leistungen;S/AV;;;
3151;Erhaltene Skonti aus Leistungen, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;S/AV;;UU;
3152;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;
3153;Erhaltene Skonti aus Leistungen, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird ohne Vorsteuer aber mit Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;S/AV;;;
3154;Erhaltene Skonti aus Leistungen, für die als Leistungsempfänger die Steuer nach § 13b UStG geschuldet wird ohne Vorsteuer, mit 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für bezogene Leistungen;S/AV;;U;
3155;Aufwendungen für bezogene Leistungen;aufwand;;;;Aufwendungen für bezogene Leistungen;R;;;3159
3160;Leistungen nach § 13b UStG mit Vorsteuerabzug 21);aufwand;;;;Aufwendungen für bezogene Leistungen;V;;;
3165;Leistungen nach § 13b UStG ohne Vorsteuerabzug 21);aufwand;;;;Aufwendungen für bezogene Leistungen;V;;;
3170;Fremdleistungen (Miet- und Pachtzinsen bewegliche Wirtschaftsgüter);aufwand;;;;Aufwendungen für bezogene Leistungen;V;;GK;
3175;Fremdleistungen (Miet- und Pachtzinsen unbewegliche Wirtschaftsgüter);aufwand;;;;Aufwendungen für bezogene Leistungen;V;;GK;
3180;Fremdleistungen (Entgelte für Rechte und Lizenzen);aufwand;;;;Aufwendungen für bezogene Leistungen;V;;GK;
3185;Fremdleistungen (Vergütungen für die Überlassung von Wirtschaftsgütern - mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Aufwendungen für bezogene Leistungen;V;;G;
3200;Wareneingang;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3300;Wareneingang 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3309
3310;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3346
3347;Wareneingang 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3348;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3349;Wareneingang ohne Vorsteuerabzug;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;KU;;;
3400;Wareneingang 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3409
3410;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3417
3418;Wareneingang 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3419;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3420;Innergemeinschaftlicher Erwerb 7 Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;3424
3425;Innergemeinschaftlicher Erwerb 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;3429
3430;Innergemeinschaftlicher Erwerb ohne Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3431;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3434
3435;Innergemeinschaftlicher Erwerb ohne Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3436;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3439
3440;Innergemeinschaftlicher Erwerb von Neufahrzeugen von Lieferanten ohne USt-Id-Nr. 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3441;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3449
3500;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3504
3505;Wareneingang 5,5 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3509
3510;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3539
3540;Wareneingang zum Durchschnittssatz nach § 24 UStG 7,8 % Vorsteuer 8);aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3549
3550;Steuerfreier innergemeinschaftlicher Erwerb;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3551;Wareneingang im Drittland steuerbar;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3552;Erwerb 1. Abnehmer innerhalb eines Dreiecksgeschäftes;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3553;Erwerb Waren als letzter Abnehmer innerhalb Dreiecksgeschäft 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3554;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3557
3558;Wareneingang im anderen EU-Land steuerbar;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3559;Steuerfreie Einfuhren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3560;Waren aus einem Umsatzsteuerlager, § 13a UStG 7 % Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3561;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3564
3565;Waren aus einem Umsatzsteuerlager, § 13a UStG 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3566;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3569
3600;Nicht abziehbare Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;;;;3609
3610;Nicht abziehbare Vorsteuer 7 %;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;;;;3619
3620;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3629
3650;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3659
3660;Nicht abziehbare Vorsteuer 19 %;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;;;;3669
3700;Nachlässe;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3701;Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3710;Nachlässe 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3711
3712;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3713
3714;Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3715;Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3716;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3717;Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb 7 % Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3718;Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3719;Art.-Nr. 11174 2026-01-01;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3720;Nachlässe 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3721
3722;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3723
3724;Nachlässe aus innergemeinschaftlichem Erwerb 7 % Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3725;Nachlässe aus innergemeinschaftlichem Erwerb 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3726;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3729
3730;Erhaltene Skonti;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3731;Erhaltene Skonti 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3732;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3733;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3734;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3735;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3736;Erhaltene Skonti 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3737;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3738;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3739;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3740
3741;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe aus steuerpflichtigem innergemeinschaftlichem Erwerb 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;U;
3742;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3743;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe aus steuerpflichtigem innergemeinschaftlichem Erwerb 7 % Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;U;
3744;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe aus steuerpflichtigem innergemeinschaftlichem Erwerb;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3745;Erhaltene Skonti aus steuerpflichtigem innergemeinschaftlichem Erwerb;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3746;Erhaltene Skonti aus steuerpflichtigem innergemeinschaftlichem Erwerb 7 % Vorsteuer und 7 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;U;
3747;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3748;Erhaltene Skonti aus steuerpflichtigem innergemeinschaftlichem Erwerb 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;U;
3749;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3750;Erhaltene Boni 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3751
3752;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3753;Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3754;Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3755;Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3756;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3759
3760;Erhaltene Boni 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3761
3762;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3768
3769;Erhaltene Boni;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3770;Erhaltene Rabatte;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3780;Erhaltene Rabatte 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3781
3782;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3783;Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3784;Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3785;Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;
3786;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3787;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 9,0 % Vorsteuer 11);aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3788;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3789
3790;Erhaltene Rabatte 19 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;;3791
3792;Erhaltene Skonti aus Erwerb Roh-, Hilfs- und Betriebsstoffe als letzter Abnehmer innerhalb Dreiecksgeschäft 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3793;Erhaltene Skonti aus Erwerb Waren als letzter Abnehmer innerhalb Dreiecksgeschäft 19 % Vorsteuer und 19 % Umsatzsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;AV;;U;
3794;Erhaltene Skonti 5,5 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3795;Erhaltene Skonti 9,0 % Vorsteuer 11);aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3796;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;3797
3798;Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 5,5 % Vorsteuer;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;S/AV;;;
3799;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;R;;;
3800;Bezugsnebenkosten;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3830;Leergut;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3850;Zölle und Einfuhrabgaben;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;
3950;Bestandsveränderungen Waren;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;KU;;;3954
3955;Bestandsveränderungen Roh-, Hilfs- und Betriebsstoffe;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;KU;;;3959
3960;Bestandsveränderungen Roh-, Hilfs- und Betriebsstoffe sowie bezogene Waren Bestand an Vorräten;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;KU;;;3969
3970;Roh-, Hilfs- und Betriebsstoffe (Bestand);aufwand;;;;Roh-, Hilfs- und Betriebsstoffe;KU;;;3979
3980;Waren (Bestand) Verrechnete Stoffkosten;aufwand;;;;Fertige Erzeugnisse und Waren;KU;;;3989
